	Algorithm	F1	WS_F1	BS_F1	STD_F1	Rank F1	F2	WS_F2	BS_F2	STD_F2	Rank F2	F3	WS_F3	BS_F3	STD_F3	Rank F3	F4	WS_F4	BS_F4	STD_F4	Rank F4	F5	WS_F5	BS_F5	STD_F5	Rank F5	F6	WS_F6	BS_F6	STD_F6	Rank F6	F7	WS_F7	BS_F7	STD_F7	Rank F7	F8	WS_F8	BS_F8	STD_F8	Rank F8	F9	WS_F9	BS_F9	STD_F9	Rank F9	F10	WS_F10	BS_F10	STD_F10	Rank F10	F11	WS_F11	BS_F11	STD_F11	Rank F11	F12	WS_F12	BS_F12	STD_F12	Rank F12	F13	WS_F13	BS_F13	STD_F13	Rank F13	F14	WS_F14	BS_F14	STD_F14	Rank F14	F15	WS_F15	BS_F15	STD_F15	Rank F15	F16	WS_F16	BS_F16	STD_F16	Rank F16	F17	WS_F17	BS_F17	STD_F17	Rank F17	F18	WS_F18	BS_F18	STD_F18	Rank F18	F19	WS_F19	BS_F19	STD_F19	Rank F19	F20	WS_F20	BS_F20	STD_F20	Rank F20	F21	WS_F21	BS_F21	STD_F21	Rank F21	F22	WS_F22	BS_F22	STD_F22	Rank F22	F23	WS_F23	BS_F23	STD_F23	Rank F23	F24	WS_F24	BS_F24	STD_F24	Rank F24	F25	WS_F25	BS_F25	STD_F25	Rank F25	F26	WS_F26	BS_F26	STD_F26	Rank F26	F27	WS_F27	BS_F27	STD_F27	Rank F27	F28	WS_F28	BS_F28	STD_F28	Rank F28	Avg Rank
0	GWO	12662.246827455047	12662.246827455047	12662.246827455047	0.0	10	48938154.80855125	48938154.80855125	48938154.80855125	0.0	4	76564090180.46562	76564090180.46564	76564090180.46564	1.52587890625e-05	7	49876.18973627523	49876.18973627523	49876.18973627523	0.0	7	736.6137447722361	736.6137447722363	736.6137447722363	1.1368683772161603e-13	9	113.8342209183289	113.83422091832892	113.83422091832892	2.842170943040401e-14	7	-520.2511244251149	-520.251124425115	-520.251124425115	1.1368683772161603e-13	7	-678.9316067091802	-678.9316067091801	-678.9316067091801	1.1368683772161603e-13	15	-566.9278823538751	-566.9278823538751	-566.9278823538751	0.0	5	1037.646582270227	1037.6465822702273	1037.6465822702273	2.2737367544323206e-13	9	37.30616879660562	37.30616879660562	37.30616879660562	0.0	4	112.20499862819861	112.20499862819861	112.20499862819861	0.0	5	433.36911450954403	433.36911450954403	433.36911450954403	0.0	10	7189.069612330635	7189.069612330634	7189.069612330634	9.094947017729282e-13	12	6057.437487830808	6057.437487830808	6057.437487830808	0.0	7	203.1299414373416	203.1299414373416	203.1299414373416	0.0	12	813.7264253697848	813.7264253697848	813.7264253697848	0.0	2	927.4921460406309	927.4921460406308	927.4921460406308	1.1368683772161603e-13	1	3281.153393290424	3281.153393290424	3281.153393290424	0.0	5	614.5096136396012	614.5096136396011	614.5096136396011	1.1368683772161603e-13	5	2178.856452781029	2178.8564527810286	2178.8564527810286	4.547473508864641e-13	4	7357.063080052421	7357.063080052422	7357.063080052422	9.094947017729282e-13	8	6476.016788708966	6476.0167887089665	6476.0167887089665	9.094947017729282e-13	3	1295.4412850084304	1295.4412850084307	1295.4412850084307	2.2737367544323206e-13	5	1389.51508355668	1389.51508355668	1389.51508355668	0.0	3	1594.3691762368994	1594.3691762368992	1594.3691762368992	2.2737367544323206e-13	7	2508.096919732154	2508.096919732154	2508.096919732154	0.0	6	5385.492005866576	5385.492005866576	5385.492005866576	0.0	5	6.571428571428571
1	EEGWO	4164.042498880321	6583.3963462078555	2052.7662292193095	1253.880219729377	5	47165438.72925321	67983653.72445579	24527949.830000848	13740051.087066587	3	27557685455.069344	35812637991.4085	19392633072.965855	4627008969.078459	2	37028.27149940537	50693.70893677889	26525.72706552168	6854.232029263333	1	354.8716158292242	1153.5447768840431	-181.2862446024459	446.6176979586556	4	-307.12472974664064	218.9024747209712	-548.9086435930419	208.7114465377093	3	-617.1451703096473	-568.5419914833086	-683.4387478421165	32.31849025162297	2	-678.9846598101165	-678.9422067991688	-679.0325036017588	0.0264823173458279	9	-565.4770694497231	-558.7416651457884	-569.049865411915	2.981199044208837	6	366.28079558889766	1061.8607079656376	77.0507126293777	294.3764233902866	5	5.175038616582237	223.16350529726333	-93.55356733594448	82.51601741462328	2	125.20164366406853	227.33801219544625	11.049151963484803	66.58629845506906	7	256.945338435446	351.5035810157908	170.0151796922309	59.16841978313146	2	6562.917142154442	7799.642313539341	4432.509962922091	1226.1378315474794	10	6200.36655188917	7670.749837077642	4177.507436227857	1082.2822906827778	8	202.68704421347198	203.2324729803288	202.12662635421984	0.3343884638522583	5	858.700650126766	931.1684625395982	771.245844017709	49.84806135815577	4	953.1170912172263	1073.8205886490816	755.5917029341575	86.79841466814855	4	1034.3565077356207	1809.4538996301644	715.2606329961324	332.4693138268274	2	613.5031040748947	614.210051054364	613.1322549074142	0.29970393119543337	1	2088.801213578585	2603.327271202458	1584.1085653124783	367.7279969676155	3	8620.406603916834	9100.701781327707	8152.686775461509	321.7250960424068	12	8398.101981332486	9196.590255749768	6995.333762106612	716.4083476944751	9	1304.5323198516562	1314.2305237618405	1295.216517357382	5.606514884522352	11	1393.8041159706704	1406.3069032789033	1378.493707675691	10.130761941154361	7	1531.7369620490217	1598.439624831704	1403.4230529353006	83.14967587047819	1	2481.4508131239695	2583.952569005023	2401.044406218014	52.51371739568925	3	5432.489578432487	6370.741003415691	4877.416954708516	443.7387127985533	6	4.892857142857143
2	IGWO	10283.925926255284	10283.925926255284	10283.925926255284	0.0	7	53927380.50277899	53927380.502779	53927380.502779	7.450580596923828e-09	6	53386520788.95405	53386520788.95405	53386520788.95405	0.0	3	42050.77035771015	42050.77035771016	42050.77035771016	7.275957614183426e-12	3	396.5003273438726	396.50032734387264	396.50032734387264	5.684341886080802e-14	7	-189.63998359030157	-189.63998359030154	-189.63998359030154	2.842170943040401e-14	4	-543.1802539717959	-543.180253971796	-543.180253971796	1.1368683772161603e-13	6	-678.9556742444562	-678.9556742444561	-678.9556742444561	1.1368683772161603e-13	12	-562.5487291236615	-562.5487291236615	-562.5487291236615	0.0	9	166.1802773440564	166.18027734405644	166.18027734405644	2.842170943040401e-14	4	62.71504527386769	62.7150452738677	62.7150452738677	1.4210854715202004e-14	5	79.81470189060492	79.81470189060491	79.81470189060491	1.4210854715202004e-14	3	334.74114299650336	334.7411429965034	334.7411429965034	5.684341886080802e-14	6	4082.0195101407458	4082.019510140746	4082.019510140746	4.547473508864641e-13	1	5415.445912051879	5415.445912051879	5415.445912051879	0.0	3	202.78815105665464	202.78815105665464	202.78815105665464	0.0	6	850.1767888427505	850.1767888427505	850.1767888427505	0.0	3	950.3522397089366	950.3522397089366	950.3522397089366	0.0	3	1376.3408689578187	1376.3408689578187	1376.3408689578187	0.0	3	614.5099704056607	614.5099704056606	614.5099704056606	1.1368683772161603e-13	6	2268.2681698207366	2268.268169820736	2268.268169820736	4.547473508864641e-13	5	6481.618556446187	6481.618556446187	6481.618556446187	0.0	4	8427.701754283731	8427.701754283731	8427.701754283731	0.0	10	1297.8299516657607	1297.8299516657607	1297.8299516657607	0.0	8	1390.5724650899988	1390.5724650899988	1390.5724650899988	0.0	5	1593.2779374467123	1593.2779374467123	1593.2779374467123	0.0	6	2573.6799954192115	2573.679995419212	2573.679995419212	4.547473508864641e-13	9	5336.27979365403	5336.27979365403	5336.27979365403	0.0	4	5.392857142857143
3	NGWO	43257.25082189606	43257.25082189606	43257.25082189606	0.0	12	724778586.5796912	724778586.5796913	724778586.5796913	1.1920928955078125e-07	12	452501339125508.2	452501339125508.2	452501339125508.2	0.0	12	153192.35464756744	153192.3546475674	153192.3546475674	2.9103830456733704e-11	15	11359.908886953595	11359.908886953595	11359.908886953595	0.0	12	9857.676067031582	9857.676067031582	9857.676067031582	0.0	13	17688.026701068615	17688.02670106861	17688.02670106861	3.637978807091713e-12	12	-679.0793966931271	-679.0793966931271	-679.0793966931271	0.0	1	-559.8375409069279	-559.837540906928	-559.837540906928	1.1368683772161603e-13	12	5572.223357551013	5572.223357551014	5572.223357551014	9.094947017729282e-13	12	293.8560673854321	293.8560673854321	293.8560673854321	0.0	11	425.26890452207783	425.26890452207783	425.26890452207783	0.0	11	607.0936378163599	607.0936378163599	607.0936378163599	0.0	11	6608.968774449866	6608.968774449866	6608.968774449866	0.0	11	7738.304723076047	7738.304723076048	7738.304723076048	9.094947017729282e-13	13	201.88048495790895	201.88048495790895	201.88048495790895	0.0	1	1200.2552901436961	1200.2552901436964	1200.2552901436964	2.2737367544323206e-13	12	1304.257793343861	1304.257793343861	1304.257793343861	0.0	12	648214.4926600622	648214.4926600622	648214.4926600622	0.0	13	613.8081510311251	613.8081510311251	613.8081510311251	0.0	2	3387.6780699018695	3387.678069901869	3387.678069901869	4.547473508864641e-13	15	9385.817985646945	9385.817985646943	9385.817985646943	1.8189894035458565e-12	13	9194.340479560744	9194.340479560742	9194.340479560742	1.8189894035458565e-12	11	1304.4127980186172	1304.4127980186174	1304.4127980186174	2.2737367544323206e-13	10	1415.3265516141707	1415.3265516141707	1415.3265516141707	0.0	12	1613.3042916187544	1613.3042916187542	1613.3042916187542	2.2737367544323206e-13	12	2777.4299686858976	2777.4299686858976	2777.4299686858976	0.0	12	7912.849708985591	7912.84970898559	7912.84970898559	9.094947017729282e-13	12	10.964285714285714
4	LFGWO	9181.557002562895	9181.557002562895	9181.557002562895	0.0	6	114959144.2359585	114959144.2359585	114959144.2359585	0.0	10	78919692395.27934	78919692395.27936	78919692395.27936	1.52587890625e-05	8	54439.039472020384	54439.039472020384	54439.039472020384	0.0	10	356.53256564958866	356.5325656495886	356.5325656495886	5.684341886080802e-14	5	-130.65045787910867	-130.65045787910867	-130.65045787910867	0.0	6	-588.3366985293849	-588.3366985293848	-588.3366985293848	1.1368683772161603e-13	4	-678.9862629653632	-678.986262965363	-678.986262965363	1.1368683772161603e-13	8	-564.1823095054494	-564.1823095054494	-564.1823095054494	0.0	8	164.92640330298173	164.92640330298173	164.92640330298173	0.0	3	30.339649741274684	30.339649741274684	30.339649741274684	0.0	3	114.67276491593766	114.67276491593765	114.67276491593765	1.4210854715202004e-14	6	340.4136347953281	340.4136347953281	340.4136347953281	0.0	7	4948.415090915771	4948.415090915771	4948.415090915771	0.0	3	4916.224173983328	4916.224173983328	4916.224173983328	0.0	2	202.90436514004412	202.90436514004412	202.90436514004412	0.0	9	771.8674916115233	771.8674916115233	771.8674916115233	0.0	1	930.166819443064	930.166819443064	930.166819443064	0.0	2	7311.327441772841	7311.327441772841	7311.327441772841	0.0	7	614.6057058397585	614.6057058397585	614.6057058397585	0.0	10	2310.307112582571	2310.307112582571	2310.307112582571	0.0	6	6585.147437981263	6585.1474379812635	6585.1474379812635	9.094947017729282e-13	6	7482.56109987839	7482.5610998783895	7482.5610998783895	9.094947017729282e-13	8	1296.3270627708139	1296.3270627708139	1296.3270627708139	0.0	7	1391.906443947108	1391.9064439471083	1391.9064439471083	2.2737367544323206e-13	6	1595.7999046705706	1595.7999046705709	1595.7999046705709	2.2737367544323206e-13	9	2523.0885824680986	2523.0885824680986	2523.0885824680986	0.0	8	5316.638925039582	5316.638925039583	5316.638925039583	9.094947017729282e-13	3	6.107142857142857
5	AgGWO	2919.5053711863666	5876.570741912374	1372.6345515959893	1419.5521475869398	2	67566810.91822802	98318979.34978372	35101306.59684887	19038843.7433051	8	54194273168.94105	72522824419.6402	37719443357.90031	13134493810.110851	4	48223.94045003161	58609.05580794155	38116.93730871651	6256.20653323608	6	-122.11075277375673	430.6672343625107	-502.0371991835367	274.57414700842975	2	-155.87451162777793	238.90766838221475	-419.1384090687659	205.71622931382916	5	-544.2334044384347	-532.0150798390881	-558.1113784956272	7.9174301563321645	5	-679.002317688763	-678.9121132425026	-679.0866532959467	0.05289217307531246	6	-565.3233255411977	-562.9096026028864	-568.5095570680355	1.7768251835990505	7	395.8273968289633	993.9769137750507	-51.07952575775852	302.8485434488437	6	89.8272525474936	141.68796335775914	31.442049289205443	35.40877931015687	7	153.42491794149672	175.51949975608414	80.12634876214304	26.249996427340648	8	192.4256446123496	246.24475678457583	156.19907798731828	25.94132979236303	1	5609.352017316132	6382.463085883631	4363.260338662611	640.0957768295408	7	5692.723343514271	6723.532607101539	4193.132980768731	756.7786358148215	4	202.7946188971711	203.16136084274723	202.53874424997005	0.17919007826788025	7	978.3850314140193	1039.0009701354747	895.7014922047824	41.449511254160406	10	999.4490489939568	1091.9569100855904	936.9462220126336	49.43949842570268	9	6014.739728414859	11501.637094732636	1560.9286342601724	3153.8840880172343	6	614.5416534190456	614.868345983604	614.1577437066838	0.20969152073565359	8	2479.062400883663	2679.147729120159	1836.308040813448	269.0986754634735	8	6159.095539546134	6883.800671244107	5505.204020142968	375.96630794127753	3	7103.349999320702	8706.924266773673	5764.208689794174	915.2293102216869	6	1292.6455072910146	1302.8741439938192	1283.534516815803	6.501592363876965	4	1394.9150506142753	1403.9712346834888	1382.639883715475	5.574042538835557	9	1591.8793575434631	1599.3009133381136	1583.9416650056335	4.2896643935248076	5	2471.666364328222	2562.8857628141186	2356.050042441215	65.22453243215217	2	5094.760667853307	5697.131163302813	4384.156791642457	332.4224430336872	1	5.571428571428571
6	VMGWO	11743.014953280697	11743.014953280697	11743.014953280697	0.0	9	53369036.01015492	53369036.010154925	53369036.010154925	7.450580596923828e-09	5	62829252875.34524	62829252875.345245	62829252875.345245	7.62939453125e-06	6	47714.60426684872	47714.60426684872	47714.60426684872	0.0	5	1002.3822322511174	1002.3822322511176	1002.3822322511176	1.1368683772161603e-13	10	2127.9181641131286	2127.9181641131286	2127.9181641131286	0.0	10	-191.7946600860953	-191.7946600860953	-191.7946600860953	0.0	10	-678.9897643529002	-678.9897643529002	-678.9897643529002	0.0	7	-567.9902277700473	-567.9902277700473	-567.9902277700473	0.0	3	1366.533265011914	1366.533265011914	1366.533265011914	0.0	10	245.08498266833658	245.08498266833658	245.08498266833658	0.0	10	203.8692502050153	203.8692502050153	203.8692502050153	0.0	10	298.9999996236689	298.9999996236689	298.9999996236689	0.0	5	5832.4879861783	5832.487986178301	5832.487986178301	9.094947017729282e-13	8	4388.064938081965	4388.064938081965	4388.064938081965	0.0	1	203.15694340497086	203.15694340497086	203.15694340497086	0.0	13	967.5082018545203	967.5082018545204	967.5082018545204	1.1368683772161603e-13	8	980.3723008277708	980.3723008277708	980.3723008277708	0.0	7	17982.61913993104	17982.61913993104	17982.61913993104	0.0	9	614.5111342468211	614.5111342468213	614.5111342468213	1.1368683772161603e-13	7	2789.5709352022827	2789.5709352022827	2789.5709352022827	0.0	10	6981.308284801786	6981.308284801786	6981.308284801786	0.0	7	6370.288693940734	6370.288693940735	6370.288693940735	9.094947017729282e-13	2	1287.4837312604054	1287.4837312604054	1287.4837312604054	0.0	2	1387.674531164958	1387.674531164958	1387.674531164958	0.0	1	1596.233616205122	1596.233616205122	1596.233616205122	0.0	10	2453.6312340032346	2453.6312340032346	2453.6312340032346	0.0	1	5556.004247559613	5556.004247559613	5556.004247559613	0.0	9	6.964285714285714
7	TLFGWO	48744.096576513504	48744.096576513504	48744.096576513504	0.0	13	770636895.6049057	770636895.6049056	770636895.6049056	1.1920928955078125e-07	13	1579979877390320.8	1579979877390321.0	1579979877390321.0	0.25	13	59612.62493800713	59612.62493800713	59612.62493800713	0.0	11	15951.74756239125	15951.74756239125	15951.74756239125	0.0	13	5462.073714013701	5462.073714013702	5462.073714013702	9.094947017729282e-13	12	287075.8539822422	287075.8539822421	287075.8539822421	5.820766091346741e-11	13	-679.0218715783158	-679.0218715783158	-679.0218715783158	0.0	2	-560.7249567186328	-560.7249567186328	-560.7249567186328	0.0	11	6018.011209717506	6018.011209717505	6018.011209717505	9.094947017729282e-13	13	402.3762920070608	402.3762920070608	402.3762920070608	0.0	13	604.0680334700857	604.0680334700857	604.0680334700857	0.0	13	716.9772037698388	716.9772037698388	716.9772037698388	0.0	13	5982.53229965249	5982.53229965249	5982.53229965249	0.0	9	6262.8195911827	6262.8195911827	6262.8195911827	0.0	9	203.04891650786664	203.04891650786664	203.04891650786664	0.0	10	1239.6762620698848	1239.6762620698848	1239.6762620698848	0.0	13	1309.2547768741053	1309.2547768741051	1309.2547768741051	2.2737367544323206e-13	13	1078539.839221362	1078539.839221362	1078539.839221362	0.0	15	614.9999999982135	614.9999999982135	614.9999999982135	0.0	12	3113.006980090937	3113.006980090937	3113.006980090937	0.0	12	7879.2249682625425	7879.2249682625425	7879.2249682625425	0.0	10	10048.32346551739	10048.32346551739	10048.32346551739	0.0	13	1320.4633940074377	1320.4633940074377	1320.4633940074377	0.0	12	1417.7438918179157	1417.7438918179157	1417.7438918179157	0.0	13	1640.8058941677423	1640.8058941677425	1640.8058941677425	2.2737367544323206e-13	13	2820.048543721562	2820.048543721562	2820.048543721562	0.0	13	8376.79263014502	8376.79263014502	8376.79263014502	0.0	14	11.928571428571429
8	IGWO_DSR	52559.80605644923	52559.80605644924	52559.80605644924	7.275957614183426e-12	14	1428269794.3581243	1428269794.3581243	1428269794.3581243	0.0	14	1.5442763085302776e+19	1.5442763085302776e+19	1.5442763085302776e+19	0.0	15	69721.38060066965	69721.38060066965	69721.38060066965	0.0	14	15951.74756239125	15951.74756239125	15951.74756239125	0.0	13	18413.27132695413	18413.27132695413	18413.27132695413	0.0	15	4365705.496856967	4365705.496856968	4365705.496856968	9.313225746154785e-10	15	-678.9643937945829	-678.9643937945829	-678.9643937945829	0.0	11	-552.6520730043333	-552.6520730043333	-552.6520730043333	0.0	14	9807.11743250323	9807.11743250323	9807.11743250323	0.0	14	506.12646452534045	506.12646452534045	506.12646452534045	0.0	14	715.0740689118509	715.0740689118509	715.0740689118509	0.0	14	813.1353850947205	813.1353850947204	813.1353850947204	1.1368683772161603e-13	14	9105.98380460898	9105.983804608979	9105.983804608979	1.8189894035458565e-12	15	9073.558778773562	9073.558778773564	9073.558778773564	1.8189894035458565e-12	15	203.2659263197216	203.2659263197216	203.2659263197216	0.0	14	1312.0167896744392	1312.0167896744392	1312.0167896744392	0.0	15	1409.9814230890474	1409.9814230890474	1409.9814230890474	0.0	15	933889.9394888429	933889.9394888429	933889.9394888429	0.0	14	615.0	615.0	615.0	0.0	15	3378.8790148420767	3378.8790148420767	3378.8790148420767	0.0	14	10700.02210039451	10700.022100394512	10700.022100394512	1.8189894035458565e-12	15	10036.803329009103	10036.803329009104	10036.803329009104	1.8189894035458565e-12	12	1546.9183535079462	1546.9183535079462	1546.9183535079462	0.0	14	1525.7179102086798	1525.71791020868	1525.71791020868	2.2737367544323206e-13	14	1645.2319534071612	1645.2319534071612	1645.2319534071612	0.0	14	3120.6837110808474	3120.6837110808474	3120.6837110808474	0.0	15	9132.048388097395	9132.048388097395	9132.048388097395	0.0	15	14.178571428571429
9	AGWO	55108.31905184603	55108.31905184604	55108.31905184604	7.275957614183426e-12	15	1428269794.3581243	1428269794.3581243	1428269794.3581243	0.0	14	1.0097149252295209e+19	1.0097149252295209e+19	1.0097149252295209e+19	0.0	14	67810.87382784137	67810.87382784137	67810.87382784137	0.0	13	15951.74756239125	15951.74756239125	15951.74756239125	0.0	13	16854.252728351225	16854.252728351228	16854.252728351228	3.637978807091713e-12	14	1814714.091723491	1814714.091723491	1814714.091723491	0.0	14	-679.0181523483341	-679.0181523483341	-679.0181523483341	0.0	4	-552.6520730043333	-552.6520730043333	-552.6520730043333	0.0	14	11495.375892433574	11495.375892433576	11495.375892433576	1.8189894035458565e-12	15	526.8312833903702	526.8312833903702	526.8312833903702	0.0	15	723.2922740980694	723.2922740980694	723.2922740980694	0.0	15	835.6092759419125	835.6092759419125	835.6092759419125	0.0	15	8659.348842515592	8659.348842515592	8659.348842515592	0.0	14	8765.380334250829	8765.380334250827	8765.380334250827	1.8189894035458565e-12	14	203.3262996861765	203.3262996861765	203.3262996861765	0.0	15	1277.6225131918764	1277.6225131918764	1277.6225131918764	0.0	14	1378.550930012767	1378.550930012767	1378.550930012767	0.0	14	327988.14180676604	327988.14180676604	327988.14180676604	0.0	12	614.9999999999799	614.9999999999799	614.9999999999799	0.0	13	3315.1396437539343	3315.139643753934	3315.139643753934	4.547473508864641e-13	13	9652.297547853419	9652.297547853419	9652.297547853419	0.0	14	10135.573910216579	10135.573910216579	10135.573910216579	0.0	14	1546.9183535079462	1546.9183535079462	1546.9183535079462	0.0	14	1525.7179102086798	1525.71791020868	1525.71791020868	2.2737367544323206e-13	14	1645.2319534071612	1645.2319534071612	1645.2319534071612	0.0	14	3111.820422986256	3111.820422986256	3111.820422986256	0.0	14	8293.709443943755	8293.709443943757	8293.709443943757	1.8189894035458565e-12	13	13.607142857142858
