	Algorithm	F1	WS_F1	BS_F1	STD_F1	Rank F1	F2	WS_F2	BS_F2	STD_F2	Rank F2	F3	WS_F3	BS_F3	STD_F3	Rank F3	F4	WS_F4	BS_F4	STD_F4	Rank F4	F5	WS_F5	BS_F5	STD_F5	Rank F5	F6	WS_F6	BS_F6	STD_F6	Rank F6	F7	WS_F7	BS_F7	STD_F7	Rank F7	F8	WS_F8	BS_F8	STD_F8	Rank F8	F9	WS_F9	BS_F9	STD_F9	Rank F9	F10	WS_F10	BS_F10	STD_F10	Rank F10	F11	WS_F11	BS_F11	STD_F11	Rank F11	F12	WS_F12	BS_F12	STD_F12	Rank F12	F13	WS_F13	BS_F13	STD_F13	Rank F13	F14	WS_F14	BS_F14	STD_F14	Rank F14	F15	WS_F15	BS_F15	STD_F15	Rank F15	F16	WS_F16	BS_F16	STD_F16	Rank F16	F17	WS_F17	BS_F17	STD_F17	Rank F17	F18	WS_F18	BS_F18	STD_F18	Rank F18	F19	WS_F19	BS_F19	STD_F19	Rank F19	F20	WS_F20	BS_F20	STD_F20	Rank F20	F21	WS_F21	BS_F21	STD_F21	Rank F21	F22	WS_F22	BS_F22	STD_F22	Rank F22	F23	WS_F23	BS_F23	STD_F23	Rank F23	F24	WS_F24	BS_F24	STD_F24	Rank F24	F25	WS_F25	BS_F25	STD_F25	Rank F25	F26	WS_F26	BS_F26	STD_F26	Rank F26	F27	WS_F27	BS_F27	STD_F27	Rank F27	F28	WS_F28	BS_F28	STD_F28	Rank F28	Avg Rank
0	GWO	44959.65921943994	44959.65921943994	44959.65921943994	0.0	8	419696663.63350064	419696663.63350064	419696663.63350064	0.0	6	17090863484526.783	17090863484526.783	17090863484526.783	0.0	9	168745.5225639881	168745.5225639881	168745.5225639881	0.0	9	6008.5503734253325	6008.5503734253325	6008.5503734253325	0.0	6	3535.6346926110846	3535.6346926110846	3535.6346926110846	0.0	8	3749.0620456253146	3749.0620456253146	3749.0620456253146	0.0	4	-678.8825151079391	-678.8825151079391	-678.8825151079391	0.0	1	-533.8391430355958	-533.8391430355958	-533.8391430355958	0.0	2	4401.497975886034	4401.497975886034	4401.497975886034	0.0	6	648.6467535876266	648.6467535876266	648.6467535876266	0.0	5	701.0912223234711	701.0912223234711	701.0912223234711	0.0	4	1148.733991401812	1148.733991401812	1148.733991401812	0.0	10	10979.435370090052	10979.435370090052	10979.435370090052	0.0	2	12673.196280922422	12673.196280922422	12673.196280922422	0.0	3	204.2872510870701	204.2872510870701	204.2872510870701	0.0	9	1927.1546460220586	1927.1546460220586	1927.1546460220586	0.0	7	1891.3819255333706	1891.3819255333706	1891.3819255333706	0.0	3	103152.97718313608	103152.97718313608	103152.97718313608	0.0	8	625.0	625.0	625.0	0.0	6	4830.287806341581	4830.287806341581	4830.287806341581	0.0	10	13226.535195479264	13226.535195479264	13226.535195479264	0.0	6	15996.09480786615	15996.09480786615	15996.09480786615	0.0	9	1389.4884202899136	1389.4884202899136	1389.4884202899136	0.0	8	1492.4990084587737	1492.4990084587737	1492.4990084587737	0.0	9	1669.8465315770159	1669.8465315770159	1669.8465315770159	0.0	3	3416.912021242396	3416.912021242396	3416.912021242396	0.0	6	9667.36281996905	9667.36281996905	9667.36281996905	0.0	8	6.25
1	EEGWO	23601.399785518806	23601.399785518806	23601.399785518806	0.0	2	274234961.7219328	274234961.7219328	274234961.7219328	0.0	2	3023015738247.7334	3023015738247.7334	3023015738247.7334	0.0	4	96461.09598029905	96461.09598029905	96461.09598029905	0.0	1	9952.841299745685	9952.841299745685	9952.841299745685	0.0	9	1996.9907641292461	1996.9907641292461	1996.9907641292461	0.0	3	-273.24722640343475	-273.24722640343475	-273.24722640343475	0.0	1	-678.7866439359229	-678.7866439359229	-678.7866439359229	0.0	13	-523.1248480176383	-523.1248480176383	-523.1248480176383	0.0	13	3159.00519077697	3159.00519077697	3159.00519077697	0.0	3	634.1094107560457	634.1094107560457	634.1094107560457	0.0	3	742.9391864398483	742.9391864398483	742.9391864398483	0.0	6	1106.1792062357567	1106.1792062357567	1106.1792062357567	0.0	7	14279.441269347719	14279.441269347719	14279.441269347719	0.0	11	14106.017653511646	14106.017653511646	14106.017653511646	0.0	7	203.655442888114	203.655442888114	203.655442888114	0.0	2	1695.5886245828124	1695.5886245828124	1695.5886245828124	0.0	4	1760.4585061076746	1760.4585061076746	1760.4585061076746	0.0	2	22155.356217378307	22155.356217378307	22155.356217378307	0.0	2	624.5811501733739	624.5811501733739	624.5811501733739	0.0	1	4453.14002681636	4453.14002681636	4453.14002681636	0.0	3	15349.403393372568	15349.403393372568	15349.403393372568	0.0	11	16200.504026240864	16200.504026240864	16200.504026240864	0.0	11	1403.2362574342706	1403.2362574342706	1403.2362574342706	0.0	11	1481.5701429279206	1481.5701429279206	1481.5701429279206	0.0	5	1679.9914058668212	1679.9914058668212	1679.9914058668212	0.0	8	3601.1467975037617	3601.1467975037617	3601.1467975037617	0.0	10	8310.126489996679	8310.126489996679	8310.126489996679	0.0	3	5.642857142857143
2	IGWO	36279.093356455836	36279.093356455836	36279.093356455836	0.0	6	475084245.4748729	475084245.4748729	475084245.4748729	0.0	9	3985995067701.123	3985995067701.123	3985995067701.123	0.0	6	138739.713620221	138739.713620221	138739.713620221	0.0	4	6770.587789950095	6770.587789950095	6770.587789950095	0.0	7	2880.279267221266	2880.279267221266	2880.279267221266	0.0	6	4161.279468956797	4161.279468956797	4161.279468956797	0.0	5	-678.8236523289738	-678.8236523289738	-678.8236523289738	0.0	6	-531.1618031980382	-531.1618031980382	-531.1618031980382	0.0	4	4435.952646669245	4435.952646669245	4435.952646669245	0.0	7	613.7051198142318	613.7051198142318	613.7051198142318	0.0	2	589.8241917911131	589.8241917911131	589.8241917911131	0.0	1	961.0078392674998	961.0078392674998	961.0078392674998	0.0	3	11438.560191430595	11438.560191430595	11438.560191430595	0.0	4	14688.643178820597	14688.643178820597	14688.643178820597	0.0	9	204.15782134637988	204.15782134637988	204.15782134637988	0.0	8	1939.1609671519034	1939.1609671519034	1939.1609671519034	0.0	8	1923.4884986116094	1923.4884986116094	1923.4884986116094	0.0	5	100105.3660356613	100105.3660356613	100105.3660356613	0.0	7	625.0	625.0	625.0	0.0	6	4581.667154222021	4581.667154222021	4581.667154222021	0.0	4	14335.170771844267	14335.170771844267	14335.170771844267	0.0	9	13868.643168199196	13868.643168199196	13868.643168199196	0.0	3	1387.8445323425512	1387.8445323425512	1387.8445323425512	0.0	6	1470.8897069192883	1470.8897069192883	1470.8897069192883	0.0	2	1663.6337068958537	1663.6337068958537	1663.6337068958537	0.0	2	3432.388972683004	3432.388972683004	3432.388972683004	0.0	7	8718.09476729832	8718.09476729832	8718.09476729832	0.0	4	5.357142857142857
3	NGWO	88306.6218657065	88306.6218657065	88306.6218657065	0.0	11	2206366678.497154	2206366678.497154	2206366678.497154	0.0	12	7240608941566674.0	7240608941566674.0	7240608941566674.0	0.0	12	195258.69473177724	195258.69473177724	195258.69473177724	0.0	13	52779.74685270596	52779.74685270596	52779.74685270596	0.0	11	14761.179558535785	14761.179558535785	14761.179558535785	0.0	13	38069.603996542064	38069.603996542064	38069.603996542064	0.0	11	-678.810201466086	-678.810201466086	-678.810201466086	0.0	9	-520.7999078101545	-520.7999078101545	-520.7999078101545	0.0	14	12344.278419906985	12344.278419906985	12344.278419906985	0.0	12	877.6319173126642	877.6319173126642	877.6319173126642	0.0	9	1226.5326237916322	1226.5326237916322	1226.5326237916322	0.0	12	1161.4130366926863	1161.4130366926863	1161.4130366926863	0.0	11	14717.384412967698	14717.384412967698	14717.384412967698	0.0	12	14803.025699227579	14803.025699227579	14803.025699227579	0.0	10	204.57890790100888	204.57890790100888	204.57890790100888	0.0	12	2360.5137628387984	2360.5137628387984	2360.5137628387984	0.0	15	2282.0141811654944	2282.0141811654944	2282.0141811654944	0.0	11	1529621.1363247023	1529621.1363247023	1529621.1363247023	0.0	13	625.0	625.0	625.0	0.0	6	5415.697115273196	5415.697115273196	5415.697115273196	0.0	15	15705.065260234813	15705.065260234813	15705.065260234813	0.0	12	15178.976224112335	15178.976224112335	15178.976224112335	0.0	7	1418.698937871929	1418.698937871929	1418.698937871929	0.0	13	1514.087327595052	1514.087327595052	1514.087327595052	0.0	12	1702.6345630966011	1702.6345630966011	1702.6345630966011	0.0	11	4234.46219605285	4234.46219605285	4234.46219605285	0.0	13	12383.69302577264	12383.69302577264	12383.69302577264	0.0	12	11.571428571428571
4	LFGWO	34003.520863962876	34003.520863962876	34003.520863962876	0.0	5	423044347.75591356	423044347.75591356	423044347.75591356	0.0	7	328887842997.4583	328887842997.4583	328887842997.4583	0.0	2	122980.54740724414	122980.54740724414	122980.54740724414	0.0	2	5853.856598856053	5853.856598856053	5853.856598856053	0.0	4	2731.510662981979	2731.510662981979	2731.510662981979	0.0	5	2754.7277783261598	2754.7277783261598	2754.7277783261598	0.0	3	-678.8207591221172	-678.8207591221172	-678.8207591221172	0.0	7	-532.4938010779081	-532.4938010779081	-532.4938010779081	0.0	3	4643.614453272553	4643.614453272553	4643.614453272553	0.0	8	733.0886850196287	733.0886850196287	733.0886850196287	0.0	7	597.9166800314938	597.9166800314938	597.9166800314938	0.0	2	1094.0576379244162	1094.0576379244162	1094.0576379244162	0.0	5	12260.970671437024	12260.970671437024	12260.970671437024	0.0	7	13376.760283139916	13376.760283139916	13376.760283139916	0.0	5	204.08943254908024	204.08943254908024	204.08943254908024	0.0	5	1857.7628537327903	1857.7628537327903	1857.7628537327903	0.0	6	1931.8006025514705	1931.8006025514705	1931.8006025514705	0.0	6	59150.57251350542	59150.57251350542	59150.57251350542	0.0	6	625.0	625.0	625.0	0.0	6	4591.9198491478255	4591.9198491478255	4591.9198491478255	0.0	6	12523.268589713003	12523.268589713003	12523.268589713003	0.0	3	14646.128600611275	14646.128600611275	14646.128600611275	0.0	6	1386.282128475705	1386.282128475705	1386.282128475705	0.0	5	1474.751001265917	1474.751001265917	1474.751001265917	0.0	4	1671.7748395863912	1671.7748395863912	1671.7748395863912	0.0	5	3387.6256540004874	3387.6256540004874	3387.6256540004874	0.0	4	9574.888132871454	9574.888132871454	9574.888132871454	0.0	7	5.035714285714286
5	AgGWO	37305.99411804792	37305.99411804792	37305.99411804792	0.0	7	290963859.8048082	290963859.8048082	290963859.8048082	0.0	3	7549831529622.621	7549831529622.621	7549831529622.621	0.0	7	181380.7267013435	181380.7267013435	181380.7267013435	0.0	10	4557.165652719788	4557.165652719788	4557.165652719788	0.0	3	1813.0018269195411	1813.0018269195411	1813.0018269195411	0.0	2	11089.973904170298	11089.973904170298	11089.973904170298	0.0	8	-678.8292547570715	-678.8292547570715	-678.8292547570715	0.0	4	-529.3942699052675	-529.3942699052675	-529.3942699052675	0.0	7	2863.7182808787743	2863.7182808787743	2863.7182808787743	0.0	2	731.7983799602607	731.7983799602607	731.7983799602607	0.0	6	901.8281306561316	901.8281306561316	901.8281306561316	0.0	10	895.1694242750589	895.1694242750589	895.1694242750589	0.0	1	11450.18556319667	11450.18556319667	11450.18556319667	0.0	5	13545.481387785625	13545.481387785625	13545.481387785625	0.0	6	204.58883387485918	204.58883387485918	204.58883387485918	0.0	13	1754.7562697332087	1754.7562697332087	1754.7562697332087	0.0	5	2199.20253983586	2199.20253983586	2199.20253983586	0.0	9	55682.429764405875	55682.429764405875	55682.429764405875	0.0	5	625.0	625.0	625.0	0.0	6	4587.511751668424	4587.511751668424	4587.511751668424	0.0	5	12267.500333057515	12267.500333057515	12267.500333057515	0.0	2	14364.491015347066	14364.491015347066	14364.491015347066	0.0	4	1370.9616587408163	1370.9616587408163	1370.9616587408163	0.0	3	1466.7007780127544	1466.7007780127544	1466.7007780127544	0.0	1	1683.1690032204883	1683.1690032204883	1683.1690032204883	0.0	10	3575.4245552489247	3575.4245552489247	3575.4245552489247	0.0	9	9087.28820973669	9087.28820973669	9087.28820973669	0.0	6	5.678571428571429
6	VMGWO	52716.1927357463	52716.1927357463	52716.1927357463	0.0	9	387213906.5758843	387213906.5758843	387213906.5758843	0.0	5	3507086371512.636	3507086371512.636	3507086371512.636	0.0	5	315704.0198183799	315704.0198183799	315704.0198183799	0.0	14	3818.68398850674	3818.68398850674	3818.68398850674	0.0	2	6772.92363142513	6772.92363142513	6772.92363142513	0.0	9	21746.02800900446	21746.02800900446	21746.02800900446	0.0	10	-678.7868153945482	-678.7868153945482	-678.7868153945482	0.0	12	-534.3896630268491	-534.3896630268491	-534.3896630268491	0.0	1	5242.96605573517	5242.96605573517	5242.96605573517	0.0	9	948.2522370324157	948.2522370324157	948.2522370324157	0.0	10	840.231347543712	840.231347543712	840.231347543712	0.0	9	1104.917202170094	1104.917202170094	1104.917202170094	0.0	6	12580.25621435657	12580.25621435657	12580.25621435657	0.0	9	15073.092533928873	15073.092533928873	15073.092533928873	0.0	12	204.10994693686422	204.10994693686422	204.10994693686422	0.0	6	2011.4526218320275	2011.4526218320275	2011.4526218320275	0.0	9	2036.5278527386702	2036.5278527386702	2036.5278527386702	0.0	7	25661.77449634384	25661.77449634384	25661.77449634384	0.0	3	625.0	625.0	625.0	0.0	6	4799.340957318154	4799.340957318154	4799.340957318154	0.0	9	14271.552422123783	14271.552422123783	14271.552422123783	0.0	8	16097.773936965981	16097.773936965981	16097.773936965981	0.0	10	1387.9858967290902	1387.9858967290902	1387.9858967290902	0.0	7	1485.504793317884	1485.504793317884	1485.504793317884	0.0	7	1678.7613446033517	1678.7613446033517	1678.7613446033517	0.0	7	3407.6328635009227	3407.6328635009227	3407.6328635009227	0.0	5	12018.582258321341	12018.582258321341	12018.582258321341	0.0	10	7.714285714285714
7	TLFGWO	92239.7002699709	92239.7002699709	92239.7002699709	0.0	13	2914069115.707325	2914069115.707325	2914069115.707325	0.0	13	6.458425130669543e+19	6.458425130669543e+19	6.458425130669543e+19	0.0	14	135670.98683139242	135670.98683139242	135670.98683139242	0.0	3	64263.79107742818	64263.79107742818	64263.79107742818	0.0	13	12095.755837248495	12095.755837248495	12095.755837248495	0.0	11	117421.95268558609	117421.95268558609	117421.95268558609	0.0	13	-678.8037047885356	-678.8037047885356	-678.8037047885356	0.0	10	-529.7930868536494	-529.7930868536494	-529.7930868536494	0.0	6	13091.167757090396	13091.167757090396	13091.167757090396	0.0	13	1139.0466350511135	1139.0466350511135	1139.0466350511135	0.0	13	1311.7853359715318	1311.7853359715318	1311.7853359715318	0.0	13	1353.6505540416845	1353.6505540416845	1353.6505540416845	0.0	13	14968.057922932236	14968.057922932236	14968.057922932236	0.0	13	14810.027572761177	14810.027572761177	14810.027572761177	0.0	11	204.11751782929082	204.11751782929082	204.11751782929082	0.0	7	2162.7835797073894	2162.7835797073894	2162.7835797073894	0.0	11	2311.558235978983	2311.558235978983	2311.558235978983	0.0	12	2053854.9526105246	2053854.9526105246	2053854.9526105246	0.0	15	625.0	625.0	625.0	0.0	6	5247.185590633499	5247.185590633499	5247.185590633499	0.0	12	16136.532092691163	16136.532092691163	16136.532092691163	0.0	13	17003.180038356015	17003.180038356015	17003.180038356015	0.0	13	1418.50779053151	1418.50779053151	1418.50779053151	0.0	12	1518.4170993182024	1518.4170993182024	1518.4170993182024	0.0	13	1755.5181443834076	1755.5181443834076	1755.5181443834076	0.0	13	3898.074494985643	3898.074494985643	3898.074494985643	0.0	12	12077.316288639784	12077.316288639784	12077.316288639784	0.0	11	11.5
8	IGWO_DSR	100213.98021006241	100213.98021006241	100213.98021006241	0.0	14	3367221007.619457	3367221007.619457	3367221007.619457	0.0	15	9.189445775234836e+19	9.189445775234836e+19	9.189445775234836e+19	0.0	15	448946.58186208	448946.58186208	448946.58186208	0.0	15	130727.4008444699	130727.4008444699	130727.4008444699	0.0	15	21371.466379390087	21371.466379390087	21371.466379390087	0.0	15	23963322.121717136	23963322.121717136	23963322.121717136	0.0	15	-678.7524410959232	-678.7524410959232	-678.7524410959232	0.0	15	-518.5068188944231	-518.5068188944231	-518.5068188944231	0.0	15	15748.93457544339	15748.93457544339	15748.93457544339	0.0	15	1318.7929209381787	1318.7929209381787	1318.7929209381787	0.0	14	1365.113231076157	1365.113231076157	1365.113231076157	0.0	14	1470.1163885845294	1470.1163885845294	1470.1163885845294	0.0	15	16115.220988864934	16115.220988864934	16115.220988864934	0.0	15	16741.409900577288	16741.409900577288	16741.409900577288	0.0	15	204.96800293201989	204.96800293201989	204.96800293201989	0.0	15	2292.0590527105296	2292.0590527105296	2292.0590527105296	0.0	13	2414.3717248025364	2414.3717248025364	2414.3717248025364	0.0	14	1775970.1448039734	1775970.1448039734	1775970.1448039734	0.0	14	625.0	625.0	625.0	0.0	6	5323.287531599539	5323.287531599539	5323.287531599539	0.0	14	17754.768898131028	17754.768898131028	17754.768898131028	0.0	15	17815.84613718763	17815.84613718763	17815.84613718763	0.0	15	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	15	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4818.617676900579	4818.617676900579	4818.617676900579	0.0	14	15330.983360355387	15330.983360355387	15330.983360355387	0.0	15	14.285714285714286
9	AGWO	104484.79242863863	104484.79242863863	104484.79242863863	0.0	15	3304851816.441448	3304851816.441448	3304851816.441448	0.0	14	2.716812014663491e+18	2.716812014663491e+18	2.716812014663491e+18	0.0	13	186721.71431693702	186721.71431693702	186721.71431693702	0.0	12	82287.89756690744	82287.89756690744	82287.89756690744	0.0	14	16992.04085789228	16992.04085789228	16992.04085789228	0.0	14	1077540.1656571322	1077540.1656571322	1077540.1656571322	0.0	14	-678.818712802765	-678.818712802765	-678.818712802765	0.0	8	-523.2295269604662	-523.2295269604662	-523.2295269604662	0.0	12	15611.068695025417	15611.068695025417	15611.068695025417	0.0	14	1427.5091587559898	1427.5091587559898	1427.5091587559898	0.0	15	1380.6319016973755	1380.6319016973755	1380.6319016973755	0.0	15	1429.260299713606	1429.260299713606	1429.260299713606	0.0	14	15798.330972468248	15798.330972468248	15798.330972468248	0.0	14	16042.351099794527	16042.351099794527	16042.351099794527	0.0	14	204.9151086376223	204.9151086376223	204.9151086376223	0.0	14	2325.5143724369973	2325.5143724369973	2325.5143724369973	0.0	14	2416.987897993919	2416.987897993919	2416.987897993919	0.0	15	929072.8885544959	929072.8885544959	929072.8885544959	0.0	12	624.9999999999509	624.9999999999509	624.9999999999509	0.0	4	5292.0537034190975	5292.0537034190975	5292.0537034190975	0.0	13	16912.119903833915	16912.119903833915	16912.119903833915	0.0	14	17581.674199105677	17581.674199105677	17581.674199105677	0.0	14	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1751.083590979335	1751.083590979335	1751.083590979335	0.0	14	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4818.617676900579	4818.617676900579	4818.617676900579	0.0	14	13790.979148221923	13790.979148221923	13790.979148221923	0.0	14	13.285714285714286
