	Algorithm	F1	WS_F1	BS_F1	STD_F1	Rank F1	F2	WS_F2	BS_F2	STD_F2	Rank F2	F3	WS_F3	BS_F3	STD_F3	Rank F3	F4	WS_F4	BS_F4	STD_F4	Rank F4	F5	WS_F5	BS_F5	STD_F5	Rank F5	F6	WS_F6	BS_F6	STD_F6	Rank F6	F7	WS_F7	BS_F7	STD_F7	Rank F7	F8	WS_F8	BS_F8	STD_F8	Rank F8	F9	WS_F9	BS_F9	STD_F9	Rank F9	F10	WS_F10	BS_F10	STD_F10	Rank F10	F11	WS_F11	BS_F11	STD_F11	Rank F11	F12	WS_F12	BS_F12	STD_F12	Rank F12	F13	WS_F13	BS_F13	STD_F13	Rank F13	F14	WS_F14	BS_F14	STD_F14	Rank F14	F15	WS_F15	BS_F15	STD_F15	Rank F15	F16	WS_F16	BS_F16	STD_F16	Rank F16	F17	WS_F17	BS_F17	STD_F17	Rank F17	F18	WS_F18	BS_F18	STD_F18	Rank F18	F19	WS_F19	BS_F19	STD_F19	Rank F19	F20	WS_F20	BS_F20	STD_F20	Rank F20	F21	WS_F21	BS_F21	STD_F21	Rank F21	F22	WS_F22	BS_F22	STD_F22	Rank F22	F23	WS_F23	BS_F23	STD_F23	Rank F23	F24	WS_F24	BS_F24	STD_F24	Rank F24	F25	WS_F25	BS_F25	STD_F25	Rank F25	F26	WS_F26	BS_F26	STD_F26	Rank F26	F27	WS_F27	BS_F27	STD_F27	Rank F27	F28	WS_F28	BS_F28	STD_F28	Rank F28	Avg Rank
0	GWO	41138.715948660305	41138.715948660305	41138.715948660305	0.0	8	198513500.344085	198513500.344085	198513500.344085	0.0	5	227170825300.22766	227170825300.22766	227170825300.22766	0.0	6	120830.17747672247	120830.17747672247	120830.17747672247	0.0	6	8798.889233846803	8798.889233846803	8798.889233846803	0.0	10	3293.624736261455	3293.624736261455	3293.624736261455	0.0	8	22229.44364930995	22229.44364930995	22229.44364930995	0.0	10	-678.8087282450559	-678.8087282450559	-678.8087282450559	0.0	6	-532.6306451745099	-532.6306451745099	-532.6306451745099	0.0	6	4078.912709941721	4078.912709941721	4078.912709941721	0.0	9	777.9548667450943	777.9548667450943	777.9548667450943	0.0	9	745.5926590387044	745.5926590387044	745.5926590387044	0.0	6	981.6799943969986	981.6799943969986	981.6799943969986	0.0	8	11843.637970679743	11843.637970679743	11843.637970679743	0.0	7	14514.719263569548	14514.719263569548	14514.719263569548	0.0	11	203.9806574554391	203.9806574554391	203.9806574554391	0.0	12	1764.5028949209582	1764.5028949209582	1764.5028949209582	0.0	5	1738.6084782195517	1738.6084782195517	1738.6084782195517	0.0	1	21263.60714291031	21263.60714291031	21263.60714291031	0.0	5	625.0	625.0	625.0	0.0	7	4625.806918848637	4625.806918848637	4625.806918848637	0.0	9	11132.666070446216	11132.666070446216	11132.666070446216	0.0	2	14238.058956699053	14238.058956699053	14238.058956699053	0.0	7	1378.133245006874	1378.133245006874	1378.133245006874	0.0	7	1463.8180306868153	1463.8180306868153	1463.8180306868153	0.0	3	1661.7642582172969	1661.7642582172969	1661.7642582172969	0.0	3	3287.5660756121547	3287.5660756121547	3287.5660756121547	0.0	4	9328.232496899325	9328.232496899325	9328.232496899325	0.0	7	6.678571428571429
1	EEGWO	16538.974672535467	16538.974672535467	16538.974672535467	0.0	2	160960822.60847607	160960822.60847607	160960822.60847607	0.0	2	346268082677.01495	346268082677.01495	346268082677.01495	0.0	8	95173.644720269	95173.644720269	95173.644720269	0.0	1	2381.313923106186	2381.313923106186	2381.313923106186	0.0	4	699.3495570213599	699.3495570213599	699.3495570213599	0.0	3	2399.941363808908	2399.941363808908	2399.941363808908	0.0	6	-678.7875808725921	-678.7875808725921	-678.7875808725921	0.0	11	-536.7238900239603	-536.7238900239603	-536.7238900239603	0.0	3	2268.904827743237	2268.904827743237	2268.904827743237	0.0	4	505.13207209069924	505.13207209069924	505.13207209069924	0.0	2	648.3036920863603	648.3036920863603	648.3036920863603	0.0	2	719.8175806006287	719.8175806006287	719.8175806006287	0.0	1	11132.489464495453	11132.489464495453	11132.489464495453	0.0	6	14112.948098092585	14112.948098092585	14112.948098092585	0.0	9	203.68365787801932	203.68365787801932	203.68365787801932	0.0	6	1627.5576663151592	1627.5576663151592	1627.5576663151592	0.0	1	1763.4190601780224	1763.4190601780224	1763.4190601780224	0.0	2	25103.722367352653	25103.722367352653	25103.722367352653	0.0	7	623.7657186641841	623.7657186641841	623.7657186641841	0.0	1	3979.0879340995607	3979.0879340995607	3979.0879340995607	0.0	2	15492.820708762581	15492.820708762581	15492.820708762581	0.0	12	15880.704581210259	15880.704581210259	15880.704581210259	0.0	11	1362.6603781500355	1362.6603781500355	1362.6603781500355	0.0	2	1492.8157472364383	1492.8157472364383	1492.8157472364383	0.0	12	1662.5821263857513	1662.5821263857513	1662.5821263857513	0.0	4	3280.0145462521145	3280.0145462521145	3280.0145462521145	0.0	3	7865.598956097632	7865.598956097632	7865.598956097632	0.0	1	4.571428571428571
2	IGWO	56278.90215497599	56278.90215497599	56278.90215497599	0.0	10	194393765.63439646	194393765.63439646	194393765.63439646	0.0	4	307666239613.14716	307666239613.14716	307666239613.14716	0.0	7	135432.97309586438	135432.97309586438	135432.97309586438	0.0	10	7181.8776755004465	7181.8776755004465	7181.8776755004465	0.0	9	2313.6299105571434	2313.6299105571434	2313.6299105571434	0.0	5	6745.553282135046	6745.553282135046	6745.553282135046	0.0	9	-678.8203625938319	-678.8203625938319	-678.8203625938319	0.0	5	-536.112438697606	-536.112438697606	-536.112438697606	0.0	4	2335.550559977076	2335.550559977076	2335.550559977076	0.0	5	555.6627043034621	555.6627043034621	555.6627043034621	0.0	4	814.4044607177204	814.4044607177204	814.4044607177204	0.0	8	844.9141657019254	844.9141657019254	844.9141657019254	0.0	4	11962.974373735045	11962.974373735045	11962.974373735045	0.0	8	11566.397824178746	11566.397824178746	11566.397824178746	0.0	3	203.94883446064546	203.94883446064546	203.94883446064546	0.0	10	1915.6455365781562	1915.6455365781562	1915.6455365781562	0.0	9	1792.0445737659804	1792.0445737659804	1792.0445737659804	0.0	3	18175.969299386175	18175.969299386175	18175.969299386175	0.0	4	625.0	625.0	625.0	0.0	7	4351.512897470804	4351.512897470804	4351.512897470804	0.0	7	13102.627363031505	13102.627363031505	13102.627363031505	0.0	8	12373.530060427649	12373.530060427649	12373.530060427649	0.0	3	1368.5671366453976	1368.5671366453976	1368.5671366453976	0.0	6	1490.715262253339	1490.715262253339	1490.715262253339	0.0	11	1660.6575939678717	1660.6575939678717	1660.6575939678717	0.0	2	3395.926464141466	3395.926464141466	3395.926464141466	0.0	9	10157.984483716033	10157.984483716033	10157.984483716033	0.0	9	6.535714285714286
3	NGWO	97199.68968745867	97199.68968745867	97199.68968745867	0.0	12	1860592346.8180077	1860592346.8180077	1860592346.8180077	0.0	13	7.39541111084502e+16	7.39541111084502e+16	7.39541111084502e+16	0.0	12	198209.85821805306	198209.85821805306	198209.85821805306	0.0	14	52779.74680224978	52779.74680224978	52779.74680224978	0.0	12	15525.785519829093	15525.785519829093	15525.785519829093	0.0	13	166435.539334627	166435.539334627	166435.539334627	0.0	12	-678.7846912553465	-678.7846912553465	-678.7846912553465	0.0	12	-521.8151793755939	-521.8151793755939	-521.8151793755939	0.0	13	10456.981200379185	10456.981200379185	10456.981200379185	0.0	13	972.8887580593721	972.8887580593721	972.8887580593721	0.0	12	1155.7671795029012	1155.7671795029012	1155.7671795029012	0.0	12	1309.1474261757016	1309.1474261757016	1309.1474261757016	0.0	12	14818.716948088831	14818.716948088831	14818.716948088831	0.0	13	14525.193346365671	14525.193346365671	14525.193346365671	0.0	12	203.23932707678443	203.23932707678443	203.23932707678443	0.0	3	2055.6032653109223	2055.6032653109223	2055.6032653109223	0.0	12	2916.0809899783085	2916.0809899783085	2916.0809899783085	0.0	15	1256327.468789895	1256327.468789895	1256327.468789895	0.0	14	625.0	625.0	625.0	0.0	7	5415.947142737884	5415.947142737884	5415.947142737884	0.0	15	17265.761906542	17265.761906542	17265.761906542	0.0	13	14883.270716138577	14883.270716138577	14883.270716138577	0.0	10	1397.108597701808	1397.108597701808	1397.108597701808	0.0	11	1488.5489369759719	1488.5489369759719	1488.5489369759719	0.0	9	1737.9974449359715	1737.9974449359715	1737.9974449359715	0.0	13	3644.8418004744008	3644.8418004744008	3644.8418004744008	0.0	11	12360.714893330874	12360.714893330874	12360.714893330874	0.0	13	11.892857142857142
4	LFGWO	29589.264868778177	29589.264868778177	29589.264868778177	0.0	4	223247794.04363778	223247794.04363778	223247794.04363778	0.0	8	180037746799.37408	180037746799.37408	180037746799.37408	0.0	3	130751.1557338105	130751.1557338105	130751.1557338105	0.0	9	5173.298004788971	5173.298004788971	5173.298004788971	0.0	7	1625.0064308568667	1625.0064308568667	1625.0064308568667	0.0	4	6075.91073713834	6075.91073713834	6075.91073713834	0.0	8	-678.7836931970583	-678.7836931970583	-678.7836931970583	0.0	13	-535.9660167159306	-535.9660167159306	-535.9660167159306	0.0	5	2827.0893563084155	2827.0893563084155	2827.0893563084155	0.0	6	767.9516123982253	767.9516123982253	767.9516123982253	0.0	8	739.9872570925545	739.9872570925545	739.9872570925545	0.0	5	967.6081445754999	967.6081445754999	967.6081445754999	0.0	6	9939.607646806648	9939.607646806648	9939.607646806648	0.0	1	11683.232957766782	11683.232957766782	11683.232957766782	0.0	5	203.6658740265207	203.6658740265207	203.6658740265207	0.0	5	1853.45158540277	1853.45158540277	1853.45158540277	0.0	8	1996.794312895045	1996.794312895045	1996.794312895045	0.0	10	30984.118802901245	30984.118802901245	30984.118802901245	0.0	9	625.0	625.0	625.0	0.0	7	4635.327872885086	4635.327872885086	4635.327872885086	0.0	10	11187.111484022495	11187.111484022495	11187.111484022495	0.0	3	12988.79582935835	12988.79582935835	12988.79582935835	0.0	4	1384.4752755399234	1384.4752755399234	1384.4752755399234	0.0	9	1473.0818708699212	1473.0818708699212	1473.0818708699212	0.0	4	1676.299706153222	1676.299706153222	1676.299706153222	0.0	9	3318.3864594850056	3318.3864594850056	3318.3864594850056	0.0	7	9247.741394812598	9247.741394812598	9247.741394812598	0.0	6	6.535714285714286
5	AgGWO	34253.71462585744	34253.71462585744	34253.71462585744	0.0	6	209251821.3583088	209251821.3583088	209251821.3583088	0.0	7	148429640763.81168	148429640763.81168	148429640763.81168	0.0	2	121816.66890895087	121816.66890895087	121816.66890895087	0.0	7	1484.057290141839	1484.057290141839	1484.057290141839	0.0	3	676.8279618571314	676.8279618571314	676.8279618571314	0.0	2	-524.2092856169713	-524.2092856169713	-524.2092856169713	0.0	1	-678.8252786972718	-678.8252786972718	-678.8252786972718	0.0	3	-530.9538404667212	-530.9538404667212	-530.9538404667212	0.0	9	1629.724044777649	1629.724044777649	1629.724044777649	0.0	3	512.2727602014253	512.2727602014253	512.2727602014253	0.0	3	747.1017790007534	747.1017790007534	747.1017790007534	0.0	7	895.4081492706175	895.4081492706175	895.4081492706175	0.0	5	10600.001273129481	10600.001273129481	10600.001273129481	0.0	3	11626.684378476952	11626.684378476952	11626.684378476952	0.0	4	204.24443146603792	204.24443146603792	204.24443146603792	0.0	14	1745.4818885983973	1745.4818885983973	1745.4818885983973	0.0	4	1897.3617236475934	1897.3617236475934	1897.3617236475934	0.0	7	5892.740072571273	5892.740072571273	5892.740072571273	0.0	3	625.0	625.0	625.0	0.0	7	4105.1951457710675	4105.1951457710675	4105.1951457710675	0.0	3	12779.08703408451	12779.08703408451	12779.08703408451	0.0	6	14823.630019752116	14823.630019752116	14823.630019752116	0.0	9	1382.4568597867976	1382.4568597867976	1382.4568597867976	0.0	8	1451.3103172043234	1451.3103172043234	1451.3103172043234	0.0	1	1681.0302331921937	1681.0302331921937	1681.0302331921937	0.0	10	3309.8096463220277	3309.8096463220277	3309.8096463220277	0.0	6	8969.714194596912	8969.714194596912	8969.714194596912	0.0	5	5.285714285714286
6	VMGWO	30456.82627897389	30456.82627897389	30456.82627897389	0.0	5	209234901.29026225	209234901.29026225	209234901.29026225	0.0	6	224247180995.14737	224247180995.14737	224247180995.14737	0.0	5	112505.38588169092	112505.38588169092	112505.38588169092	0.0	4	2530.7384176268015	2530.7384176268015	2530.7384176268015	0.0	5	3320.659738704534	3320.659738704534	3320.659738704534	0.0	9	-464.9048579229406	-464.9048579229406	-464.9048579229406	0.0	2	-678.7832080389938	-678.7832080389938	-678.7832080389938	0.0	14	-527.409778397855	-527.409778397855	-527.409778397855	0.0	11	3135.3493343553346	3135.3493343553346	3135.3493343553346	0.0	8	638.5500463919143	638.5500463919143	638.5500463919143	0.0	6	1084.4190367188905	1084.4190367188905	1084.4190367188905	0.0	11	1026.3536275575436	1026.3536275575436	1026.3536275575436	0.0	9	12637.444750465462	12637.444750465462	12637.444750465462	0.0	9	13721.805062358784	13721.805062358784	13721.805062358784	0.0	8	203.6996561846856	203.6996561846856	203.6996561846856	0.0	7	1818.813363445984	1818.813363445984	1818.813363445984	0.0	6	1805.2129752140668	1805.2129752140668	1805.2129752140668	0.0	4	27118.49171000265	27118.49171000265	27118.49171000265	0.0	8	625.0	625.0	625.0	0.0	7	4151.392677077448	4151.392677077448	4151.392677077448	0.0	5	12477.946046862995	12477.946046862995	12477.946046862995	0.0	5	14038.822871238379	14038.822871238379	14038.822871238379	0.0	6	1354.5854839365059	1354.5854839365059	1354.5854839365059	0.0	1	1477.1546819816206	1477.1546819816206	1477.1546819816206	0.0	5	1668.5950453121804	1668.5950453121804	1668.5950453121804	0.0	5	3335.55310027845	3335.55310027845	3335.55310027845	0.0	8	11652.299061764046	11652.299061764046	11652.299061764046	0.0	11	6.785714285714286
7	TLFGWO	99757.10879026372	99757.10879026372	99757.10879026372	0.0	13	959216513.2247269	959216513.2247269	959216513.2247269	0.0	11	1.5269754068965606e+18	1.5269754068965606e+18	1.5269754068965606e+18	0.0	14	140070.94397860416	140070.94397860416	140070.94397860416	0.0	12	71993.25685387991	71993.25685387991	71993.25685387991	0.0	13	10414.654550088126	10414.654550088126	10414.654550088126	0.0	11	1385330.9127938238	1385330.9127938238	1385330.9127938238	0.0	13	-678.8319639288795	-678.8319639288795	-678.8319639288795	0.0	2	-531.448898293065	-531.448898293065	-531.448898293065	0.0	8	8374.240302490822	8374.240302490822	8374.240302490822	0.0	11	1181.176645936139	1181.176645936139	1181.176645936139	0.0	13	1319.0747954892695	1319.0747954892695	1319.0747954892695	0.0	13	1332.4671630212806	1332.4671630212806	1332.4671630212806	0.0	13	13992.804057778389	13992.804057778389	13992.804057778389	0.0	10	14117.661913582015	14117.661913582015	14117.661913582015	0.0	10	203.96341210771828	203.96341210771828	203.96341210771828	0.0	11	2095.4794827995056	2095.4794827995056	2095.4794827995056	0.0	13	2214.756378122665	2214.756378122665	2214.756378122665	0.0	12	1017847.4505691611	1017847.4505691611	1017847.4505691611	0.0	13	624.9999999920066	624.9999999920066	624.9999999920066	0.0	5	4971.962930079208	4971.962930079208	4971.962930079208	0.0	11	14794.007392138767	14794.007392138767	14794.007392138767	0.0	10	16553.67313293247	16553.67313293247	16553.67313293247	0.0	12	1428.3167891526157	1428.3167891526157	1428.3167891526157	0.0	13	1489.1378120037716	1489.1378120037716	1489.1378120037716	0.0	10	1721.2285313776188	1721.2285313776188	1721.2285313776188	0.0	12	3705.8141248402517	3705.8141248402517	3705.8141248402517	0.0	12	12071.990784335088	12071.990784335088	12071.990784335088	0.0	12	11.178571428571429
8	IGWO_DSR	103971.1731734139	103971.1731734139	103971.1731734139	0.0	14	3255781434.109394	3255781434.109394	3255781434.109394	0.0	15	3.0558575930682384e+19	3.0558575930682384e+19	3.0558575930682384e+19	0.0	15	229818.09745325544	229818.09745325544	229818.09745325544	0.0	15	131798.19102303483	131798.19102303483	131798.19102303483	0.0	15	20911.101049451532	20911.101049451532	20911.101049451532	0.0	15	11739413.309343819	11739413.309343819	11739413.309343819	0.0	15	-678.808563905114	-678.808563905114	-678.808563905114	0.0	7	-516.6882875854035	-516.6882875854035	-516.6882875854035	0.0	15	13541.93339324645	13541.93339324645	13541.93339324645	0.0	14	1318.7929209381787	1318.7929209381787	1318.7929209381787	0.0	14	1365.113231076157	1365.113231076157	1365.113231076157	0.0	14	1460.055512018576	1460.055512018576	1460.055512018576	0.0	14	16391.541692373783	16391.541692373783	16391.541692373783	0.0	15	16036.743172512332	16036.743172512332	16036.743172512332	0.0	15	204.86970453979973	204.86970453979973	204.86970453979973	0.0	15	2240.9382964048236	2240.9382964048236	2240.9382964048236	0.0	15	2335.1234191720705	2335.1234191720705	2335.1234191720705	0.0	13	1614454.54929049	1614454.54929049	1614454.54929049	0.0	15	625.0	625.0	625.0	0.0	7	5355.737098690896	5355.737098690896	5355.737098690896	0.0	14	18162.54549557279	18162.54549557279	18162.54549557279	0.0	15	18230.748480487506	18230.748480487506	18230.748480487506	0.0	15	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4750.073721554974	4750.073721554974	4750.073721554974	0.0	14	15108.612263490511	15108.612263490511	15108.612263490511	0.0	15	14.0
9	AGWO	108757.90990612685	108757.90990612685	108757.90990612685	0.0	15	3116953418.388177	3116953418.388177	3116953418.388177	0.0	14	1.1642359416686943e+18	1.1642359416686943e+18	1.1642359416686943e+18	0.0	13	137124.69030188478	137124.69030188478	137124.69030188478	0.0	11	84138.39977616943	84138.39977616943	84138.39977616943	0.0	14	18313.17622753408	18313.17622753408	18313.17622753408	0.0	14	1485587.7886014595	1485587.7886014595	1485587.7886014595	0.0	14	-678.8056670112481	-678.8056670112481	-678.8056670112481	0.0	8	-518.7550332300557	-518.7550332300557	-518.7550332300557	0.0	14	14650.378895861666	14650.378895861666	14650.378895861666	0.0	15	1432.2241811091822	1432.2241811091822	1432.2241811091822	0.0	15	1399.7091463912418	1399.7091463912418	1399.7091463912418	0.0	15	1514.6502840277922	1514.6502840277922	1514.6502840277922	0.0	15	16260.314841286803	16260.314841286803	16260.314841286803	0.0	14	15276.353113450983	15276.353113450983	15276.353113450983	0.0	13	203.92398765893475	203.92398765893475	203.92398765893475	0.0	8	2233.993284929616	2233.993284929616	2233.993284929616	0.0	14	2346.0607722174846	2346.0607722174846	2346.0607722174846	0.0	14	913717.5439243369	913717.5439243369	913717.5439243369	0.0	12	624.999999999826	624.999999999826	624.999999999826	0.0	6	5298.59608238355	5298.59608238355	5298.59608238355	0.0	13	17528.39018142181	17528.39018142181	17528.39018142181	0.0	14	17506.594511578187	17506.594511578187	17506.594511578187	0.0	14	1584.5934538687325	1584.5934538687325	1584.5934538687325	0.0	14	1768.0022309583906	1768.0022309583906	1768.0022309583906	0.0	14	1872.2648439500656	1872.2648439500656	1872.2648439500656	0.0	14	4750.073721554974	4750.073721554974	4750.073721554974	0.0	14	14106.479047651135	14106.479047651135	14106.479047651135	0.0	14	13.178571428571429
